sentence,cause,effect,is_causal
"Party Vice-President Ram Kishore Singh threatened to “ put him ( Modi ) behind bars ”, because following the Muzaffarnagar riots, the state government had received IB alerts on possible communal unrest.",the Muzaffarnagar riots,the state government had received IB alerts on possible communal unrest,1
"In May 2012, when the Karnataka Police arrested Kafeel Akthar from Darbhanga for his alleged role in the Chinnaswamy Stadium attacks in 2010, Nitish raged that it was illegal.",his alleged role in the Chinnaswamy Stadium attacks in 2010,the Karnataka Police arrested Kafeel Akthar from Darbhanga,1
They alleged that the police tried to intimidate religious leaders and pressured them to withdraw the bandh call and had issued notices to them saying that if there was any untoward incident during the bandh they would be held responsible for it.,there was any untoward incident during the bandh,they would be held responsible for it,1
"Only CPM had enmity towards TP, says Rema 27th February 2013 08:44 AM K K Rema, wife of slain leader T P Chandrasekharan, stuck to her statement before the Special Additional District and Sessions Court ( Marad cases ) here that the CPM had enmity towards her husband and denied the suggestions made by the defence counsel.","K K Rema, wife of slain leader T P Chandrasekharan, stuck to her statement before the Special Additional District and Sessions Court ( Marad cases ) here that the CPM had enmity towards her husband",denied the suggestions made by the defence counsel,1
"In reply to the argument of the defence counsel that the UDF used the murder of Chandrasekharan for political gain by blaming CPM for the killing, Rema told the court that this was not right.",political gain by blaming CPM for the killing,the UDF used the murder of Chandrasekharan,1
"In reply to the argument of the defence counsel that the UDF used the murder of Chandrasekharan for political gain by blaming CPM for the killing, Rema told the court that this was not right.",the UDF used the murder of Chandrasekharan for political gain,blaming CPM for the killing,1
Today 's Paper One-day agitation against KAS cripples Secretariat,against KAS,One-day agitation,1
Today 's Paper One-day agitation against KAS cripples Secretariat,One-day agitation, cripples Secretariat,1
A strike called by a section of employees against the government decision to include the government Secretariat in the Kerala Administrative Service ( KAS ) crippled the functioning of the State administrative headquarters on Thursday.,against the government decision to include the government Secretariat in the Kerala Administrative Service ( KAS ),A strike called by a section of employees,1
A strike called by a section of employees against the government decision to include the government Secretariat in the Kerala Administrative Service ( KAS ) crippled the functioning of the State administrative headquarters on Thursday.,A strike called by a section of employees, crippled the functioning of the State administrative headquarters on Thursday.,1
"Though Chief Secretary S.M. Vijayanand had called the employees ’ representatives for talks on Wednesday, it failed to reach an accord and the Secretariat Association affiliated to the Congress and the Employees Sangh called for a one-day strike.",talks on Wednesday,Chief Secretary S.M. Vijayanand had called the employees ’ representatives,1
"Though Chief Secretary S.M. Vijayanand had called the employees ’ representatives for talks on Wednesday, it failed to reach an accord and the Secretariat Association affiliated to the Congress and the Employees Sangh called for a one-day strike.",Chief Secretary S.M. Vijayanand had called the employees ’ representatives for talks on Wednesday,it failed to reach an accord,1
"Though Chief Secretary S.M. Vijayanand had called the employees ’ representatives for talks on Wednesday, it failed to reach an accord and the Secretariat Association affiliated to the Congress and the Employees Sangh called for a one-day strike.",it failed to reach an accord,the Secretariat Association affiliated to the Congress and the Employees Sangh called for a one-day strike,1
"Incidentally, this is for the first time that the police had slapped notices on the organisers of the bandh citing the Supreme Court ruling holding the organisers of the bandh responsible if any untoward incident occurred during the bandh period.", citing the Supreme Court ruling holding the organisers of the bandh responsible if any untoward incident occurred during the bandh period,this is for the first time that the police had slapped notices on the organisers of the bandh,1
"Incidentally, this is for the first time that the police had slapped notices on the organisers of the bandh citing the Supreme Court ruling holding the organisers of the bandh responsible if any untoward incident occurred during the bandh period.",any untoward incident occurred during the bandh period,holding the organisers of the bandh responsible,1
Decision challenged Members of the Secretariat Association had been on the war path and had been staying out of offices in protest against the decision.,against the decision,Decision challenged Members of the Secretariat Association had been on the war path and had been staying out of offices in protest,1
"Association leader Benny said that their members who availed themselves of casual leave on Wednesday as a mark of protest, would continue to boycott duties and organise a 24 - hour satyagraha before the Secretariat on February 20.",a mark of protest,their members who availed themselves of casual leave on Wednesday,1
"Association leader Benny said that their members who availed themselves of casual leave on Wednesday as a mark of protest, would continue to boycott duties and organise a 24 - hour satyagraha before the Secretariat on February 20.",would continue to boycott duties and organise a 24 - hour satyagraha before the Secretariat on February 20,a mark of protest,1
"﻿Chief Minister Pinarayi Vijayan had directed the heads of departments to initiate disciplinary action against employees who have been boycotting work after signing the attendance register in the name of the protest, after monitoring the closed circuit camera visuals.",monitoring the closed circuit camera visuals,﻿Chief Minister Pinarayi Vijayan had directed the heads of departments to initiate disciplinary action against employees who have been boycotting work after signing the attendance register in the name of the protest,1
"﻿Chief Minister Pinarayi Vijayan had directed the heads of departments to initiate disciplinary action against employees who have been boycotting work after signing the attendance register in the name of the protest, after monitoring the closed circuit camera visuals.",the protest,employees who have been boycotting work after signing the attendance register,1
"In the early hours of 6 May, Beijing police detained Pu Zhiqiang, a prominent human rights lawyer who helped organise the 1989 demonstration ; three days prior, he had participated in a private panel discussion commemorating the massacre.","a prominent human rights lawyer who helped organise the 1989 demonstration ; three days prior, he had participated in a private panel discussion commemorating the massacre","In the early hours of 6 May, Beijing police detained Pu Zhiqiang",1
Gao was imprisoned in 1993 on the same charge for her writings during the 1989 demonstrations.,her writings during the 1989 demonstrations,Gao was imprisoned in 1993 on the same charge,1
"Hong Kong must not become a breeding ground for hate Susan Chan denounces the abuse perpetrated by radical protest groups PUBLISHED : Monday, 16 March, 2015, 2:13pm In recent weeks, there have been protests organised against parallel trading in the New Territories and Tsim Sha Tsui.",against parallel trading in the New Territories and Tsim Sha Tsui,there have been protests organised,1
"The scenes are getting more and more ugly and disturbing, with shops being forced to close and people who are not parallel traders being molested and bullied.",shops being forced to close and people who are not parallel traders being molested and bullied,The scenes are getting more and more ugly and disturbing,1
"Although the people who have organised these events try to blame the government for what has happened, a clear and strong message about such radical and irrational activities must be sent across society, not for the sake of our tourism or economy, but in defence of Hong Kong 's core values.",the people who have organised these events try to blame the government for what has happened,"a clear and strong message about such radical and irrational activities must be sent across society, not for the sake of our tourism or economy, but in defence of Hong Kong 's core values",1
"Although the people who have organised these events try to blame the government for what has happened, a clear and strong message about such radical and irrational activities must be sent across society, not for the sake of our tourism or economy, but in defence of Hong Kong 's core values.",in defence of Hong Kong 's core values,a clear and strong message about such radical and irrational activities must be sent across society,1
"22nd September 2011 11:15 AM AGRA : The crude improvised explosive device ( IED ) used in the Sep 17 Agra blast that injured four people was "" unique "" in its design, investigators said Thursday, adding that local welders had been contacted and a lead from Haldwani was also being followed.",the Sep 17 Agra blast,injured four people,1
"The earlier reports of rivalry among nursing homes resulting in the explosion, have now been ruled out.",rivalry among nursing homes, resulting in the explosion,1
"- Indian Express PTI, PTI : Guwahati, Sat Aug 03 2013, 14:53 hrs Violence continued to rock Karbi Anglong district where various government offices were torched and train tracks removed by activists of different organisations today demanding a separate state on the lines of Telangana.",various government offices were torched and train tracks removed by activists of different organisations today,Violence continued to rock Karbi Anglong district,1
"- Indian Express PTI, PTI : Guwahati, Sat Aug 03 2013, 14:53 hrs Violence continued to rock Karbi Anglong district where various government offices were torched and train tracks removed by activists of different organisations today demanding a separate state on the lines of Telangana.", demanding a separate state on the lines of Telangana,various government offices were torched and train tracks removed by activists of different organisations today,1
"The protestors removed a portion of the railway track between Diphu and Doldoli stations today, halting train movement, they said.",The protestors removed a portion of the railway track between Diphu and Doldoli stations today, halting train movement,1
"Flag marches by the army, that was called in by the civil administration, was continuing across the violence-hit district for area domination and to instill confidence among the people, officials said.",instill confidence among the people,"Flag marches by the army, that was called in by the civil administration, was continuing",1
Lawyers Gherao Puri Collectorate 09th December 2014 06:07 AM PURI : Hundreds of members of Puri Bar Association gheraoed the collectorate and staged a road blockade for six hours on Monday demanding stringent action against Puri tehsil staff who had assaulted lawyer Biranchi Das on Wednesday., demanding stringent action against Puri tehsil staff,Hundreds of members of Puri Bar Association gheraoed the collectorate and staged a road blockade for six hours on Monday,1
Lawyers Gherao Puri Collectorate 09th December 2014 06:07 AM PURI : Hundreds of members of Puri Bar Association gheraoed the collectorate and staged a road blockade for six hours on Monday demanding stringent action against Puri tehsil staff who had assaulted lawyer Biranchi Das on Wednesday.,who had assaulted lawyer Biranchi Das on Wednesday,demanding stringent action against Puri tehsil staff,1
"IN SCHOOL Meghalaya June 02, 2014 00:00 IST 13 Curfew was on Saturday relaxed for eight hours in Meghalaya ’ s West Garo Hills district, two days after it was imposed following mob violence over the death of a suspected militant in police custody, officials said.",mob violence,it was imposed,1
"IN SCHOOL Meghalaya June 02, 2014 00:00 IST 13 Curfew was on Saturday relaxed for eight hours in Meghalaya ’ s West Garo Hills district, two days after it was imposed following mob violence over the death of a suspected militant in police custody, officials said.",the death of a suspected militant in police custody,mob violence,1
The lawyers are on a strike since Thursday after the incident.,the incident,The lawyers are on a strike since Thursday,1
"We will continue to boycott the work in all courts till the District Magistrate looks into our demands, ” Samal said.",the District Magistrate looks into our demands,We will continue to boycott the work in all courts,1
"As the city witnessed a terror strike only four months ago, the security establishment left no stones unturned to ensure an incident-free celebrations.",the city witnessed a terror strike only four months ago,the security establishment left no stones unturned to ensure an incident-free celebrations,1
"As the city witnessed a terror strike only four months ago, the security establishment left no stones unturned to ensure an incident-free celebrations.", to ensure an incident-free celebrations,the security establishment left no stones unturned,1
"April 09, 2013 00:00 IST Part of power sub-station in Naxal-dominated Jamui district As the 48 - hour-bandh, which was called by the Maoists to protest against the killing of their 10 cadres in Jharkhand recently, drew to a close on Sunday night, Maoists wreaked havoc in various parts of Bihar.", to protest against the killing of their 10 cadres in Jharkhand recently,"the 48 - hour-bandh, which was called by the Maoists",1
"About a hundred Maoists blew up part of a power sub-station in Naxal-dominated Jamui district, affecting power supply in the area.",About a hundred Maoists blew up part of a power sub-station in Naxal-dominated Jamui district, affecting power supply in the area,1
"- Indian Express PTI, PTI : New Delhi, Sun May 26 2013, 01:39 hrs Prime Minister Manmohan Singh tonight strongly condemned the "" dastardly "" Maoists attack on Congress leaders and workers in Chhattisgarh and appealed to the attackers to release at the earliest all those who may have been abducted.", to release at the earliest all those who may have been abducted,appealed to the attackers,1
"In Muzaffarpur district, about 25 -30 Maoists attacked the premises of Saaj Infracon, a Patna-based company, and briefly took around 10 -15 labourers hostage to make good their escape.", to make good their escape,briefly took around 10 -15 labourers hostage,1
"They then took the workers, who were sleeping there, including the JCB and tractor drivers, to about one km, fearing police retaliation.", fearing police retaliation,"They then took the workers, who were sleeping there, including the JCB and tractor drivers, to about one km",1
"TIRUNELVELI : ‘ Give house sites to Lankan expatriates ’ June 13, 2013 00:00 IST CPI ( M-L ) members stage demo Demanding free house sites to 18 Sri Lankan expatriate families, Communist Party of India ( Marxist-Leninist ) members staged a demonstration in front of the railway junction here on Tuesday.", Demanding free house sites to 18 Sri Lankan expatriate families,Communist Party of India ( Marxist-Leninist ) members staged a demonstration in front of the railway junction here on Tuesday,1
The Left leaders pointed out that the ongoing plantation workers ’ stir affects 3.5 lakh of plantation workers across the state and hence was a serious social issue.,the ongoing plantation workers ’ stir affects 3.5 lakh of plantation workers across the state,was a serious social issue,1
"' SC Ruling Gives Hope for Death Row Convicts in Rajiv Case ' 21st January 2014 03:18 PM The Supreme Court verdict commuting death penalty of 15 convicts has given hope that the three death row convicts in the Rajiv Gandhi assassination case could get similar relief, MDMK leader Vaiko said on Tuesday.",The Supreme Court verdict commuting death penalty of 15 convicts, has given hope that the three death row convicts in the Rajiv Gandhi assassination case could get similar relief,1
"He said there was an "" ulterior motive "" in Karunanidhi ’ s comments, made during an election speech in Puducherry on Thursday, that riots ensued following the demolition of the mosque.",the demolition of the mosque,riots ensued,1
"The police, however, suspect that old enmity might have been the reason behind the murder.",old enmity,the murder,1
Senior police officers went to the spot as there was considerable tension in the area following the murder.,there was considerable tension in the area,Senior police officers went to the spot,1
Senior police officers went to the spot as there was considerable tension in the area following the murder.,the murder.,there was considerable tension in the area,1
"Some locals gheraoed the policemen, when they were in the village for investigation, demanding immediate arrest of the culprits.", demanding immediate arrest of the culprits,"Some locals gheraoed the policemen, when they were in the village for investigation",1
"Their ages range from 19 to 30 years, they were arrested in connection with incidents of public violence on campus, which included the continuous stoning of SA Police Service members, '' said police spokeswoman Brigadier Sally de Beer.","incidents of public violence on campus, which included the continuous stoning of SA Police Service members",they were arrested,1
The police have denied allegations that they were targeting leaders of the student protests in order to thwart the ' # FeesMustFall ' campaign after the arrest of former Witwatersrand University Student Representative Council president Mcebo Dlamini.,to thwart the ' # FeesMustFall ' campaign,they were targeting leaders of the student protests,1
The resumption of lectures at NMMU on Wednesday were marred by disruptions as running battles between police and protesters continued.,running battles between police and protesters continued,The resumption of lectures at NMMU on Wednesday were marred by disruptions,1
"This week, acting police commissioner Lt-Gen Khomotso Phahlane said 567 people have been arrested during the student protests in 265 cases over the last eight months.",the student protests in 265 cases over the last eight months,567 people have been arrested,1
"Describing the incident as "" a dastardly and anti-democratic act "", Singh said, "" Government will take firm action against the perpetrators of violence of any kind. """,against the perpetrators of violence of any kind,Government will take firm action,1
"A seventh suspect has been arrested for the murder of ANC North West official Obuti Chika, the Hawks said on Friday.",the murder of ANC North West official Obuti Chika,A seventh suspect has been arrested,1
`` We suspect that he pulled the trigger that killed Chika ''.,he pulled the trigger, that killed Chika,1
"Rahul Assures Strict Action in Tanzanian Student Assault Case 05th February 2016 07:09 PM NEW DELHI : Under attack by BJP for being "" silent "", Rahul Gandhi today said strict action will be taken in the alleged assault and stripping of a Tanzanian student in Bangalore that has triggered a nationwide outrage.","being "" silent """,Under attack by BJP,1
"Rahul Assures Strict Action in Tanzanian Student Assault Case 05th February 2016 07:09 PM NEW DELHI : Under attack by BJP for being "" silent "", Rahul Gandhi today said strict action will be taken in the alleged assault and stripping of a Tanzanian student in Bangalore that has triggered a nationwide outrage.",the alleged assault and stripping of a Tanzanian student in Bangalore,a nationwide outrage,1
"Nine persons have been arrested so far since the incident happened on Sunday night when the 21 - year-old Tanzanian student went through the ordeal in vigilante justice by an angry mob in a case of "" mistaken identity "" after a woman was mowed down by a car driven by a Sudanese here.",the incident happened on Sunday night,Nine persons have been arrested so far,1
"Nine persons have been arrested so far since the incident happened on Sunday night when the 21 - year-old Tanzanian student went through the ordeal in vigilante justice by an angry mob in a case of "" mistaken identity "" after a woman was mowed down by a car driven by a Sudanese here.",the 21 - year-old Tanzanian student went through the ordeal,the incident happened on Sunday night,1
"Nine persons have been arrested so far since the incident happened on Sunday night when the 21 - year-old Tanzanian student went through the ordeal in vigilante justice by an angry mob in a case of "" mistaken identity "" after a woman was mowed down by a car driven by a Sudanese here.",vigilante justice by an angry mob,the 21 - year-old Tanzanian student went through the ordeal,1
"Nine persons have been arrested so far since the incident happened on Sunday night when the 21 - year-old Tanzanian student went through the ordeal in vigilante justice by an angry mob in a case of "" mistaken identity "" after a woman was mowed down by a car driven by a Sudanese here.","a case of "" mistaken identity """,vigilante justice by an angry mob,1
"Nine persons have been arrested so far since the incident happened on Sunday night when the 21 - year-old Tanzanian student went through the ordeal in vigilante justice by an angry mob in a case of "" mistaken identity "" after a woman was mowed down by a car driven by a Sudanese here.",a woman was mowed down by a car driven by a Sudanese here,"a case of "" mistaken identity """,1
"The Tanzanian woman was reportedly dragged out of the car in which she was seated along with her three friends when she reached the accident spot with the miscreants mistaking them to have caused the fatal accident though a Sudanese was involved in it, police said.",she reached the accident spot with the miscreants mistaking them to have caused the fatal accident,The Tanzanian woman was reportedly dragged out of the car in which she was seated along with her three friends,1
"The Tanzanian woman was reportedly dragged out of the car in which she was seated along with her three friends when she reached the accident spot with the miscreants mistaking them to have caused the fatal accident though a Sudanese was involved in it, police said.",a Sudanese was involved in it,the miscreants mistaking them to have caused the fatal accident,1
"India had suspended the talks after Pakistani gunmen attacked Mumbai last year, saying it would not be resumed till Islamabad showed concrete action on meeting India ’ s concerns over cross-border terrorism.",Pakistani gunmen attacked Mumbai last year,India had suspended the talks,1
"India had suspended the talks after Pakistani gunmen attacked Mumbai last year, saying it would not be resumed till Islamabad showed concrete action on meeting India ’ s concerns over cross-border terrorism.",Islamabad showed concrete action on meeting India ’ s concerns over cross-border terrorism,it would not be resumed,1
"India had suspended the talks after Pakistani gunmen attacked Mumbai last year, saying it would not be resumed till Islamabad showed concrete action on meeting India ’ s concerns over cross-border terrorism.",cross-border terrorism,India ’ s concerns,1
"More than 1,200 permanent and 600 casual workers are protesting for their jobs and salaries.",their jobs and salaries,"More than 1,200 permanent and 600 casual workers are protesting",1
"TAMIL NADU Post blasts, the web of security tightens May 29, 2014 00:00 IST Railway stations, places of worship, cinema halls, malls – the enhanced protective measures are everywhere The May Day twin blasts on platform nine of Chennai Central sent a strong message to various enforcement agencies in the city.",The May Day twin blasts on platform nine of Chennai Central sent a strong message to various enforcement agencies in the city,"Railway stations, places of worship, cinema halls, malls – the enhanced protective measures are everywhere",1
City police have now constituted teams to carry out regular inspection at malls following the blasts., to carry out regular inspection at malls,City police have now constituted teams,1
City police have now constituted teams to carry out regular inspection at malls following the blasts.,the blasts,to carry out regular inspection at malls,1
"Soon after the heat and dust of the twin blasts settled, city policemen worked overtime to step up security arrangements all over the city and schools were among the most important establishments under the scanner.",step up security arrangements all over the city,city policemen worked overtime,1
"December 19, 2007 00:00 IST Kanwar Yogendra SHIMLA : The CPI(M) on Tuesday questioned the BJP over its opposition to the tough measures taken by the West Bengal government against the Maoists at Nandigram where they had set up a “ liberated zone. ”",its opposition to the tough measures taken by the West Bengal government against the Maoists at Nandigram where they had set up a “ liberated zone,The CPI(M) on Tuesday questioned the BJP,1
"December 19, 2007 00:00 IST Kanwar Yogendra SHIMLA : The CPI(M) on Tuesday questioned the BJP over its opposition to the tough measures taken by the West Bengal government against the Maoists at Nandigram where they had set up a “ liberated zone. ”",they had set up a “ liberated zone,the tough measures taken by the West Bengal government against the Maoists at Nandigram,1
He said Home Minister Shivraj Patil had said in Parliament that the violence in the State was due to the Maoists who had barricaded the village and prevented the villagers to return.,the Maoists who had barricaded the village and prevented the villagers to return,the violence in the State,1
He said Home Minister Shivraj Patil had said in Parliament that the violence in the State was due to the Maoists who had barricaded the village and prevented the villagers to return.,the Maoists who had barricaded the village, prevented the villagers to return,1
"The violence that followed in Nandigram was due to them for which the BJP was criticising the CPI(M), he added.",them for which the BJP was criticising the CPI(M),The violence that followed in Nandigram,1
"A violent protest occurred outside the school and the hospital Saturday, as rumours spread that the girl was in a critical condition.",rumours spread that the girl was in a critical condition,A violent protest occurred outside the school and the hospital Saturday,1
The police official said around 17 people were arrested for destroying and damaging government vehicles and property.,destroying and damaging government vehicles and property,around 17 people were arrested,1
"At one point, recorded in the documentary, the filmmaker himself was embroiled in the violence, when he was hit in the face by a police officer.",he was hit in the face by a police officer,the filmmaker himself was embroiled in the violence,1
"But on the eve of the protests ’ second anniversary, Chan claims all of Hong Kong ’ s major cinemas are refusing to show his film, the result, he suspects, of creeping self-censorship as businesses shy away from offending Beijing.",creeping self-censorship,all of Hong Kong ’ s major cinemas are refusing to show his film,1
"But on the eve of the protests ’ second anniversary, Chan claims all of Hong Kong ’ s major cinemas are refusing to show his film, the result, he suspects, of creeping self-censorship as businesses shy away from offending Beijing.",businesses shy away from offending Beijing,creeping self-censorship,1
“ My film might provide them with an opportunity to look back at what happened during the protests so that they can tidy up their thoughts and emotions. ”,My film might provide them with an opportunity to look back at what happened during the protests,they can tidy up their thoughts and emotions,1
Fasting Jagan denied mulakats 27th August 2013 11:23 AM The indefinite fast of YSR Congress chief YS Jaganmohan Reddy in protest against state division continued on the second day on Monday.,against state division,The indefinite fast of YSR Congress chief YS Jaganmohan Reddy in protest,1
Fasting Jagan denied mulakats 27th August 2013 11:23 AM The indefinite fast of YSR Congress chief YS Jaganmohan Reddy in protest against state division continued on the second day on Monday.,protest against state division,The indefinite fast of YSR Congress chief YS Jaganmohan Reddy,1
"Jagan had taken up the hunger strike on Sunday morning in support of ‘ Samaikyandra ’ agitation in Coastal Andhra and Rayalaseema regions, which is going on for the last 27 days."," in support of ‘ Samaikyandra ’ agitation in Coastal Andhra and Rayalaseema regions, which is going on for the last 27 days",Jagan had taken up the hunger strike on Sunday morning,1
"Confirming that Jagan had not taken food for the second consecutive day on Monday, Chanchalguda jail superintendent B Saidaiah said Jagan had refused food, in violation of prison rules.",Jagan had refused food,in violation of prison rules,1
"Will the unprecedented protests embolden them to fight for their beliefs in future, or convince them that resistance to Beijing ’ s will is futile ?",the unprecedented protests,"<SIG1>embolden</SIG1> them to fight for their beliefs in future, or convince them that resistance to Beijing ’ s will is futile",1
"Will the unprecedented protests embolden them to fight for their beliefs in future, or convince them that resistance to Beijing ’ s will is futile ?",their beliefs in future,embolden them to fight,1
"Yet older people have been drawn into the protests too : not just democracy veterans, but citizens inspired by the younger generation.",citizens inspired by the younger generation,older people have been drawn into the protests too,1
"Law ’ s parents, who initially opposed her protesting, backed her after she explained her views.",she explained her views,"Law ’ s parents, who initially opposed her protesting, backed her",1
"Millions on the mainland took part in the pro-reform protests of 1989 which began in Tiananmen Square, but after the bloody crackdown, fear and economic inducements ensured they turned away from politics.",fear and economic inducements,they turned away from politics,1
"Han Dongfang, who was jailed as a leader of the Tiananmen protests and now runs the workers ’ advocacy group China Labour Bulletin from Hong Kong, believes Beijing can compromise when it sees it is necessary.",it sees it is necessary,Beijing can compromise,1
"Earlier in the day, the hotel premises saw party workers waving Trinamool flags and shouting slogans demanding justice from the management.", demanding justice from the management,the hotel premises saw party workers waving Trinamool flags and shouting slogans,1
Ehrenreich and the Rail Commuters ' Action Group were outside Parliament 's main entrance on Sunday to protest against Metro Rail 's poor safety record., to protest against Metro Rail 's poor safety record,Ehrenreich and the Rail Commuters ' Action Group were outside Parliament 's main entrance on Sunday,1
"HYDERABAD Patient ’ s kin protest at hospital March 15, 2017 00:00 IST The family of a 25 - year-old man who died at the Government Chest Hospital in Erragadda, allegedly due to the negligence of the staff, protested at the hospital on Tuesday.",the negligence of the staff,man who died at the Government Chest Hospital in Erragadda,1
"HYDERABAD Patient ’ s kin protest at hospital March 15, 2017 00:00 IST The family of a 25 - year-old man who died at the Government Chest Hospital in Erragadda, allegedly due to the negligence of the staff, protested at the hospital on Tuesday.","The family of a 25 - year-old man who died at the Government Chest Hospital in Erragadda, allegedly due to the negligence of the staff",protested at the hospital on Tuesday,1
"Bank work hit by staff strike - Indian Express Express News Service, Express News Service : Faridkot / Moga, Thu Dec 17 2009, 00:02 hrs Bank work remained paralysed in the region after the employees went on strike following a call given by the All India Bank Employees ' Union and the All India Bank Officers ' Association.",staff strike,Bank work hit,1
"Bank work hit by staff strike - Indian Express Express News Service, Express News Service : Faridkot / Moga, Thu Dec 17 2009, 00:02 hrs Bank work remained paralysed in the region after the employees went on strike following a call given by the All India Bank Employees ' Union and the All India Bank Officers ' Association.",the employees went on strike,Bank work remained paralysed in the region,1
"Bank work hit by staff strike - Indian Express Express News Service, Express News Service : Faridkot / Moga, Thu Dec 17 2009, 00:02 hrs Bank work remained paralysed in the region after the employees went on strike following a call given by the All India Bank Employees ' Union and the All India Bank Officers ' Association.",a call given by the All India Bank Employees ' Union and the All India Bank Officers ' Association,the employees went on strike,1
They were protesting the proposed merger of State Bank of Indore into the State Bank of India.,the proposed merger of State Bank of Indore into the State Bank of India,They were protesting,1
"In case the government does not change its stand, we will further intensify our stir.",the government does not change its stand,we will further intensify our stir,1
""" In Moga, various local units of bank employees ' associations held protest rallies to show solidarity with their central bodies.", to show solidarity with their central bodies,various local units of bank employees ' associations held protest rallies,1
"THRISSUR : Hike in toll rate withdrawn October 03, 2013 00:00 IST A hike in toll on the Mannuthy-Edappally stretch, effected from Tuesday, was withdrawn on Wednesday following protests.",protests,"A hike in toll on the Mannuthy-Edappally stretch, effected from Tuesday, was withdrawn on Wednesday",1
"The hike was withdrawn on Wednesday following protests by activists of the Youth Congress, the BJP and the DYFI.","protests by activists of the Youth Congress, the BJP and the DYFI",The hike was withdrawn on Wednesday,1
"The hike in toll on the Mannuthy-Edappally stretch was withdrawn following protests by the Youth Congress, the BJP and the DYFI.","protests by the Youth Congress, the BJP and the DYFI",The hike in toll on the Mannuthy-Edappally stretch was withdrawn,1
Taxi operators marching in protest against the government 's taxi recapitalisation scheme reached the Union Buildings in Pretoria on Friday.,against the government 's taxi recapitalisation scheme,Taxi operators marching in protest,1
They were also protesting about the government 's refusal to make available finances to improve the infrastructure and services of the public rail system.,the government 's refusal to make available finances to improve the infrastructure and services of the public rail system,They were also protesting,1
They were also protesting about the government 's refusal to make available finances to improve the infrastructure and services of the public rail system., to improve the infrastructure and services of the public rail system,to make available finances,1
"The R300 and N2 highways in Cape Town were reopened on Saturday afternoon following a brief protest, the Western Cape Traffic department said.",a brief protest,The R300 and N2 highways in Cape Town were reopened on Saturday afternoon,1
"Lalu, Rabri upbeat after success of shutdown 29th January 2010 01:40 PM An RJD activist wears a garland and crown made of vegetables and shouts slogans along with others during a protest against inflation in Patna.",against inflation in Patna,An RJD activist wears a garland and crown made of vegetables and shouts slogans along with others during a protest,1
"Lalu, Rabri upbeat after success of shutdown 29th January 2010 01:40 PM An RJD activist wears a garland and crown made of vegetables and shouts slogans along with others during a protest against inflation in Patna.",during a protest against inflation in Patna,An RJD activist wears a garland and crown made of vegetables and shouts slogans along with others,1
AP PATNA : Rashtriya Janata Dal ( RJD ) chief Lalu Prasasd and his wife Rabri Devi are elated with the overwhelming success of the dawn-to-dusk statewide shutdown called by the party to protest rising prices of essential items., to protest rising prices of essential items,the dawn-to-dusk statewide shutdown called by the party,1
"Chief Minister Nitish Kumar, on the other hand, said Thursday 's shutdown was opposed to development.",opposed to development,Thursday 's shutdown,1
"However, Nitish Kumar termed the shutdown opposed to development.", opposed to development,the shutdown,1
"The dawn-to-dusk shutdown evoked total response in Bihar, upsetting Lalu-Rabri rival Nitish Kumar as well as the Bharatiya Janata Party ( BJP ) and the Congress, which is trying for a revival in the state.",The dawn-to-dusk shutdown,total response in Bihar,1
"The dawn-to-dusk shutdown evoked total response in Bihar, upsetting Lalu-Rabri rival Nitish Kumar as well as the Bharatiya Janata Party ( BJP ) and the Congress, which is trying for a revival in the state.",total response in Bihar, upsetting Lalu-Rabri rival Nitish Kumar as well as the Bharatiya Janata Party ( BJP ) and the Congress,1
"But the shutdown success has provided the much-needed shot in the arm to him to take on the state 's ruling Janata Dal-United ( JD-U ) and its ally, the BJP.",the shutdown success,"the much-needed shot in the arm to him to take on the state 's ruling Janata Dal-United ( JD-U ) and its ally, the BJP",1
Political analyst Satyanarain Madan said Lalu-Rabri for the first time made a political mark by a near total shutdown after their ouster from power in 2005 in Bihar and after Lalu Prasad lost his place in the Congress-led United Progressive Alliance central government last year after his party was routed in the Lok Sabha polls.,his party was routed in the Lok Sabha polls,Lalu Prasad lost his place in the Congress-led United Progressive Alliance central government last year,1
"- Indian Express Aditi Vatsa, Aditi Vatsa : New Delhi, Sun Dec 30 2012, 01:17 hrs Mourning the death of the 23 - year-old gangrape victim and demanding strict punishment for the guilty, a large crowd gathered at Munirka bus stop, the same spot from she and her friend had boarded the chartered bus on that ill-fated night.", Mourning the death of the 23 - year-old gangrape victim and <SIG1>demanding</SIG1> strict punishment for the guilty,a large crowd gathered at Munirka bus stop,1
"Apart from students and teachers of Jawaharlal Nehru University, many residents too gathered here after hearing about the protest on news channels.",hearing about the protest on news channels,"Apart from students and teachers of Jawaharlal Nehru University, many residents too gathered here",1
"If it does not act, the protests will continue. """,it does not act,the protests will continue,1
"The bus stop walls were soon covered with posters, many of them exhorting people to "" continue the struggle against patriarchy so that every woman can live a life free of violence "".",against patriarchy,continue the struggle,1
"The bus stop walls were soon covered with posters, many of them exhorting people to "" continue the struggle against patriarchy so that every woman can live a life free of violence "".", so that every woman can live a life free of violence,against patriarchy,1
